Format,MoTeC CSV File,,,Workbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance,Throttle Position,Engine Speed,Coolant Temperature,Inlet Manifold Pressure,ECU Battery Voltage,Vehicle Speed,Inlet Air Temperature,Fuel Mixture Aim,Engine Efficiency,Engine Charge Temperature,Engine Load,Engine Oil Pressure Sensor,Ignition Output Cut Count,Fuel Output Cut Count,Fuel Volume Compensation,Inlet Manifold Pressure Sensor,Fuel Pressure,Fuel Injector Secondary Differential Pressure,Fuel Injector Primary Differential Pressure,Fuel Injector Primary Contribution,Fuel Flow,Fuel Cylinder 1 Primary Output Volume,Fuel Cylinder 1 Primary Output Pulse Width 1,Fuel Cylinder 1 Secondary Output Pulse Width 1,Fuel Injector Primary Duty Cycle,Fuel Injector Secondary Duty Cycle,Fuel Temperature,Gear Shift Ignition Cut,Gear Shift Fuel Cut,Throttle Pedal,Throttle Pedal Sensor,Throttle Servo Bank 1 Aim,GPS_Speed,Wheel Speed Front Left,Wheel Speed Front Right,Wheel Speed Rear Left,Wheel Speed Rear Right,Brake Pressure Front,Brake Pressure Rear,Ignition Timing,Fuel Timing Primary,Fuel Timing Secondary,Gear,Oil Temperature,Exhaust Lambda,Gear Shift Type,Vehicle Acceleration IMU Pitch Rate,Vehicle Acceleration IMU Roll Rate,Vehicle Acceleration IMU Yaw Rate,Vehicle Acceleration IMU Lateral Acceleration,Vehicle Acceleration IMU Longitudonal Acceleration,Vehicle Acceleration IMU Vertical Acceleration,Engine Oil Pressure,Engine Speed Limit,ECU Uptime,GPS_Time,GPS Date,ECU CPU Usage,GPS Altitude,GPS True Course,Throttle Limit,Throttle Aim,Traction Engine Speed Limit,Traction Range,Throttle Servo Position,Coolant Post Rad Temperature,Exhaust Temperature Cylinder 1,Exhaust Temperature Cylinder 2,Exhaust Temperature Cylinder 3,Exhaust Temperature Cylinder 4,Ignition Timing Compensation,Suspension Front Right Damper Travel,Suspension Front Left Damper Travel,Suspension Rear Left Damper Travel,Suspension Rear Right Damper Travel,Brake Temperature Front,Brake Temperature Rear,Traction Aim Main,GPS_Latitude,GPS_Longitude,ECU Internal Temperature,Engine Synchronisation Voltage Maximum,Engine Synchronisation Voltage Minimum,Running Lap Time,Bosch DDU11 Received Data Lap Count,Bosch DDU11 Received Data Driver Name,ETC Shutdown Circuit,ECU Acceleration X,ECU Acceleration Y,ECU Acceleration Z,Throttle Limit State,Coolant Fan 1 Enable,ECU Battery Diagnostic,ECU Sensor 5V0 A Diagnostic,ECU Sensor 5V0 B Diagnostic,ECU Sensor 5V0 C Diagnostic,ECU Sensor 6V3 Diagnostic,ECU Internal 1V2 Diagnostic,ECU Internal 1V5 Diagnostic,ECU Internal 1V8 Diagnostic,ECU Internal 2V5 Diagnostic,ECU Internal 3V3 Diagnostic,ECU Internal 7V0 Diagnostic,Engine Oil Pressure Sensor Diagnostic,Exhaust Camshaft Bank 1 Position Diagnostic,Exhaust Camshaft Bank 2 Position Diagnostic,Engine Speed Reference State,Fuel Cylinder 1 Primary Pin Diagnostic,Fuel Cylinder 1 Secondary Pin Diagnostic,Gear Shift Mode,Inlet Camshaft Bank 1 Position Diagnostic,Inlet Camshaft Bank 2 Position Diagnostic,Inlet Air Temperature Sensor Diagnostic,Throttle Pedal Sensor Main Diagnostic,Throttle Pedal Sensor Tracking Diagnostic,Throttle Pedal Sensor Diagnostic,Throttle Servo Bank 1 Diagnostic,Throttle Position Sensor Diagnostic,Throttle Servo Bank 1 Position Sensor Main Diagnostic,Throttle Servo Bank 1 Position Sensor Tracking Diagnostic,Throttle Servo Bank 1 Position Sensor Diagnostic,Throttle Servo Bank 2 Position Sensor Main Diagnostic,Throttle Servo Bank 2 Position Sensor Tracking Diagnostic,Throttle Servo Bank 2 Position Sensor Diagnostic,Throttle Servo Bank 2 Diagnostic,ETC Fault,Coolant Temperature Sensor Diagnostic,Inlet Manifold Pressure Sensor Diagnostic,Coolant Pump State,Engine Speed Pin Diagnostic,Engine Synchronisation Pin Diagnostic,Alternative Fuel Pump Pin Diagnostic,Fuel Pump Pin Diagnostic,Throttle Aim State,Gear Shift State,CAN Bus 1 Diagnostic,Ignition Timing State,Engine Speed Limit State,Gear Shift Diagnostic,Engine Speed Reference Diagnostic,Fuel Cylinder 1 Primary Output Diagnostic,Fuel Cylinder 1 Secondary Output Diagnostic,GPS Diagnostic,Ignition Output Diagnostic,ETC Shutdown Circuit Disable State,Fuel Output Diagnostic,Engine Synchronisation Position Diagnostic,Ignition Cylinder 1 Output Diagnostic
m,%,rpm,F,kPa,V,mph,F,LA,%,C,mg,psi,,,%Trim,kPa,psi,dkPa,dkPa,%,ml/min,ul,ms,ms,%,%,F,%,%,%,%,%,km/h,km/h,km/h,km/h,km/h,psi,psi,dBTDC,dBTDC,dBTDC,,F,LA,,deg/s,deg/s,deg/s,G,G,G,psi,rpm,s,s,,%,m,deg,%,%,rpm,%,%,F,C,C,C,C,dBTDC,in,in,in,in,F,F,%,deg,deg,C,V,V,s,,,,G,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,57.1,9330.1,175.3,91.3,12.992,0,86.8,0.85,103.6,11.1,169.5,71.4,93,0,0,91.3,54.1,,379.6,100,353.3,19.9,4.5,0,34.7,,114.3,,,57.3,79.4,57.3,0,0,0,0,0,9.4,20.8,31.9,530,550,-2,169,1.43,0,1.8,0,0,0.08,-0.03,0.97,75,9240,97.4,68527.797,160525,56.8,299,359.9,,57.3,,100,57,162.9,,,,,0,1.84,1.858,1.949,2.009,93.5,88.9,100,42.0679217,-84.2371033,44,4.011,-0.044,94.3,1,9668,0,14.21,13.18,11.97,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,57.1,9330.1,175.3,91.3,12.992,0,86.8,0.85,103.6,11.1,169.5,71.4,93,0,0,91.3,54.1,,379.6,100,353.3,19.9,4.5,0,34.7,,114.3,,,57.3,79.4,57.3,0,0,0,0,0,9.4,20.8,31.9,530,550,-2,169,1.43,0,1.8,0,0,0.08,-0.03,0.97,75,9240,97.4,68527.797,160525,56.8,299,359.9,,57.3,,100,57,162.9,,,,,0,1.84,1.858,1.949,2.009,93.5,88.9,100,42.0679217,-84.2371033,44,4.011,-0.044,94.3,1,9668,0,14.21,13.18,11.97,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,57.1,9330.1,175.3,91.3,12.992,0,86.8,0.85,103.6,11.1,169.5,71.4,93,0,0,91.3,54.1,,379.6,100,353.3,19.9,4.5,0,34.7,,114.3,,,57.3,79.4,57.3,0,0,0,0,0,9.4,20.8,31.9,530,550,-2,169,1.43,0,1.8,0,0,0.08,-0.03,0.97,75,9240,97.4,68527.797,160525,56.8,299,359.9,,57.3,,100,57,162.9,,,,,0,1.84,1.858,1.949,2.009,93.5,88.9,100,42.0679217,-84.2371033,44,4.011,-0.044,94.3,1,9668,0,14.21,13.18,11.97,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,57.1,9330.1,175.3,91.3,12.992,0,86.8,0.85,103.6,11.1,169.5,71.4,93,0,0,91.3,54.1,,379.6,100,353.3,19.9,4.5,0,34.7,,114.3,,,57.3,79.4,57.3,0,0,0,0,0,9.4,20.8,31.9,530,550,-2,169,1.43,0,1.8,0,0,0.08,-0.03,0.97,75,9240,97.4,68527.797,160525,56.8,299,359.9,,57.3,,100,57,162.9,,,,,0,1.84,1.858,1.949,2.009,93.5,88.9,100,42.0679217,-84.2371033,44,4.011,-0.044,94.3,1,9668,0,14.21,13.18,11.97,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,58.6,9341.2,175.3,91.6,12.982,0.1,86.8,0.85,103.9,11.1,170.5,71.3,93,0,0,91.6,54,,379.6,100,360,20,4.6,0,34.7,,114.2,,,59.3,79.8,57.9,0.007,0.2,0.2,0.2,0,7.8,18.6,31.9,530,550,-2,169,1.424,0,-0.36,0.72,0,-0.41,0.3,0.99,74,9242,97.4,68527.797,160525,56.8,299,259.7,,59.2,,100,57.1,162.9,,,,,0,1.841,1.859,1.948,2.008,93.5,88.8,100,42.0679217,-84.2371033,44,4.011,-0.044,94.3,1,9668,0,12.94,13.66,13.46,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,60.2,9352.4,175.3,92,12.973,0.3,86.8,0.85,104.1,11.1,171.5,71.1,93,0,0,92,54,,379.6,100,366.8,20.1,4.6,0,34.7,,114.2,,,61.3,80.3,60.6,0.015,0.3,0.4,0.5,0,7.8,17.5,31.9,530,550,-2,169,1.418,0,1.8,-0.72,0,-0.03,0.36,1.03,73.1,9244,97.4,68527.797,160525,56.8,299,159.5,,61,,100,57.3,162.9,,,,,0,1.841,1.859,1.949,2.008,93.4,88.7,100,42.0679217,-84.2371033,44,4.011,-0.044,94.3,1,9668,0,12.64,14.33,12.66,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,61.7,9363.5,175.3,92.3,12.963,0.4,86.8,0.85,104.3,11.1,172.5,71,93,0,0,92.3,53.9,,379.6,100,369,20.2,4.6,0,34.7,,114.2,,,65,80.7,65,0.019,0.5,0.6,0.7,0,6.2,14.8,31.9,530,550,-2,169,1.413,0,0,0,0,-0.05,0.14,0.99,72.1,9246,97.5,68527.817,160525,56.8,299,109.4,,62.8,,100,59.3,162.9,,,,,0,1.841,1.859,1.951,2.01,93.4,88.7,100,42.0679217,-84.2371033,44,4.011,-0.044,94.4,1,9668,0,13.86,13.34,11.96,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,63.3,9374.6,175.3,92.7,12.953,0.5,86.8,0.85,104.5,11.1,173.5,70.9,93,0,0,92.7,53.9,,379.6,100,366.8,20.3,4.6,0,34.7,,114.2,,,70.3,81.1,65,0.019,0.6,0.9,0.9,0,4,12.7,31.9,530,550,-2,169,1.407,0,-0.72,-1.08,0,-0.27,0.29,0.98,71.2,9248,97.5,68527.858,160525,56.8,299,109.4,,64.7,,100,63.4,162.9,,,,,0,1.842,1.86,1.949,2.011,93.4,88.6,100,42.0679217,-84.2371033,44,4.011,-0.044,94.4,1,9668,0,14.4,13.1,12.09,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,64.9,9385.7,175.3,93,12.944,0.7,86.7,0.85,104.7,11.1,174.5,70.7,93,0,0,93,53.9,,379.6,100,364.6,20.4,4.7,0,34.7,,114.2,,,75.7,81.5,66.5,0.019,0.8,1.1,1.1,0,2.4,10,31.9,530,550,-2,169,1.401,0,-2.52,0,0,0.25,0.39,1.01,70.2,9250,97.5,68527.898,160525,56.8,299,109.4,,66.5,,100,64.8,162.9,,,,,0,1.844,1.86,1.949,2.007,93.3,88.5,100,42.0679217,-84.2371033,44,4.011,-0.044,94.4,1,9668,0,12.75,13.52,14,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,3,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,65.6,9385.7,175.3,92.4,12.953,0.8,86.7,0.85,104.4,11.1,172.8,70.6,93,0,0,92.4,54,,379.7,100,367.1,20.2,4.6,0,34.7,,114.2,,,77.8,82,67.2,0.019,1,1.3,1.3,0.5,3.5,9.4,31.9,530,550,-2,169,1.399,0,0,0,0,0.25,-0.03,0.93,70.4,9252,97.5,68527.898,160525,56.8,299,121.7,,67,,100,66,162.9,,,,,0,1.846,1.861,1.947,2.007,93.3,88.6,100,42.0679217,-84.2371033,44,4.011,-0.044,94.4,1,9668,0,12.24,14.78,13.59,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,3,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,66.4,9385.7,175.3,91.8,12.963,0.9,86.7,0.85,104.1,11.1,171.1,70.5,93,0,0,91.8,54.1,,379.7,100,369.6,20,4.6,0,34.7,,114.1,,,79.9,82.4,67.2,0.019,1.2,1.4,1.5,1,3.5,8.9,31.9,530,550,-2,169,1.398,0,0,0,0,-0.27,0.63,1.05,70.6,9254,97.5,68527.898,160525,56.8,299,133.9,,67.5,,100,67.1,162.9,,,,,0,1.846,1.861,1.947,2.005,93.4,88.7,100,42.0679217,-84.2371033,44,4.011,-0.044,94.4,1,9668,0,14.34,13.76,11.68,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,3,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,67.1,9385.7,175.3,91.2,12.973,1,86.7,0.85,103.7,11.1,169.5,70.3,93,0,0,91.2,54.2,,379.7,100,374.6,19.8,4.5,0,34.7,,114.1,,,81.4,82.8,67.2,0.019,1.5,1.6,1.6,1.4,3,7.8,31.9,530,550,-2,169,1.396,0,0,0,0,-0.01,0.47,0.99,70.8,9256,97.6,68527.919,160525,56.8,299,140.1,,68,,100,67.5,162.9,,,,,0,1.847,1.861,1.948,2.004,93.4,88.7,100,42.0679217,-84.2371033,44,4.011,-0.044,94.5,1,9668,0,14.07,12.88,12.71,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,3,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,67.9,9385.7,175.3,90.6,12.982,1.1,86.6,0.85,103.4,11.1,167.8,70.2,93,0,0,90.6,54.3,,379.7,100,382.1,19.6,4.5,0,34.7,,114.1,,,82.3,83.2,68.8,0.019,1.7,1.8,1.8,1.9,4,7.8,31.9,530,550,-2,169,1.395,0,-1.8,0.36,0,0.25,-0.04,0.97,71,9258,97.6,68527.959,160525,56.8,299,140.1,,68.5,,100,67.6,162.9,,,,,0,1.847,1.861,1.948,2.006,93.4,88.8,100,42.0679217,-84.2371033,44,4.011,-0.044,94.5,1,9668,0,11.97,14.49,13.57,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,3,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,68.7,9385.7,175.3,89.9,12.992,1.2,86.6,0.85,103.1,11.1,166.1,70,93,0,0,89.9,54.4,,379.7,100,389.6,19.4,4.4,0,34.6,,114.1,,,83.2,83.7,69,0.019,1.9,2,2,2.4,3,7.3,31.9,530,550,-2,169,1.393,0,-2.16,0,0,-0.22,0.47,0.97,71.1,9260,97.6,68528,160525,56.8,299,140.1,,69,,100,68.6,162.9,,,,,0,1.848,1.861,1.949,2.006,93.4,88.9,100,42.0679217,-84.2371033,44,4.011,-0.044,94.5,1,9668,0,12.31,14.49,13.35,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,3,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,69.2,9358.7,175.3,89.8,12.985,1.5,86.6,0.85,102.9,11.1,165.6,69.9,93,0,0,89.8,54.4,,379.7,100,381.8,19.4,4.4,0,34.6,,114.1,,,83.5,84.1,69,0.033,2.3,2.3,2.3,2.6,2.4,7.8,31.9,530,550,-2,169,1.388,0,-2.16,0,0,-0.26,0.62,1,70.9,9262,97.6,68528,160525,56.8,299,169.4,,69.5,,100,69.1,162.9,,,,,0,1.848,1.861,1.95,2.007,93.4,89,100,42.0679217,-84.2371033,44,4.011,-0.044,94.5,1,9668,0,14.45,13.28,10.63,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,3,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,69.8,9331.7,175.3,89.7,12.978,1.7,86.6,0.85,102.7,11.1,165.1,69.8,93,0,0,89.7,54.3,,379.7,100,374,19.3,4.4,0,34.6,,114.1,,,83.8,84.5,70,0.048,2.7,2.5,2.7,2.8,4.5,6.7,31.9,530,550,-2,169,1.382,0,0,0,0,0.19,0.13,0.96,70.7,9264,97.6,68528,160525,56.8,299,198.7,,70.1,,100,69.3,162.9,,,,,0,1.849,1.861,1.948,2.005,93.4,89.1,100,42.0679217,-84.2371033,44,4.011,-0.044,94.5,1,9668,0,14.1,12.91,12.31,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,3,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,70.4,9304.7,175.3,89.6,12.97,1.9,86.5,0.85,102.5,11.1,164.5,69.6,93,0,0,89.6,54.3,,379.7,100,370.2,19.3,4.4,0,34.6,,114.1,,,84.1,84.9,70.5,0.056,3,2.8,3.1,3,2.4,7.3,31.9,530,550,-2,169,1.377,0,-0.36,0,0,-0.22,0.06,0.93,70.4,9266,97.7,68528.02,160525,56.9,299,213.4,,70.6,,100,69.9,162.9,,,,,0,1.851,1.862,1.946,2.004,93.5,89.2,100,42.0679217,-84.2371033,44,4.011,-0.044,94.6,1,9668,0,13.45,13.46,12.89,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,3,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,70.9,9277.7,175.3,89.5,12.963,2.1,86.5,0.85,102.3,11.1,164,69.5,93,0,0,89.5,54.3,,379.7,100,370.4,19.2,4.4,0,34.6,,114,,,84.3,85.4,71.5,0.056,3.4,3.1,3.4,3.2,0.8,6.7,31.9,530,550,-2,169,1.371,0,-1.8,-1.44,0,-0.23,0.86,1.02,70.2,9268,97.7,68528.061,160525,56.9,299,213.4,,71.2,,100,70.4,162.9,,,,,0,1.853,1.862,1.946,2.003,93.5,89.2,100,42.0679217,-84.2371033,44,4.011,-0.044,94.6,1,9668,0,12.45,14.64,13.2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,3,0,1,7,5,1,1,1,0,1,5,1,1,1,5
0,71.5,9250.6,175.3,89.4,12.956,2.4,86.5,0.85,102.1,11.1,163.5,69.3,93,0,0,89.4,54.3,,379.7,100,370.6,19.1,4.4,0,34.6,,114,,,84.5,85.8,71.7,0.056,3.8,3.4,3.8,3.3,3.5,7.3,31.9,530,550,-2,169,1.366,0,-1.8,0.36,0,0.25,0.34,0.96,69.9,9270,97.7,68528.102,160525,56.9,299,213.4,,71.7,,100,71.5,162.9,,,,,0,1.855,1.862,1.945,2.002,93.5,89.3,100,42.0679217,-84.2371033,44,4.011,-0.044,94.6,1,9668,0,12.57,14.83,12.26,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,3,0,1,7,5,1,1,1,0,1,5,1,1,1,1
0,72.2,9218.9,175.3,89.6,12.951,2.6,86.5,0.85,102.3,11.1,164.2,69.2,93,0,0,89.6,54.3,,379.8,100,363.9,19.2,4.4,0,34.6,,114,,,84.8,86.2,72.6,0.056,4.1,3.8,4.4,4.1,3.5,6.2,31.9,530,550,-2,169,1.351,0,-1.8,-1.08,0,-0.06,0.81,1.04,69.2,9272,97.7,68528.102,160525,56.9,299,211.1,,73.1,,100,71.9,162.9,,,,,0,1.856,1.862,1.945,2.002,93.5,89.4,100,42.0679217,-84.2371033,44,4.011,-0.044,94.6,1,9668,0,13.59,14.06,12.33,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,3,0,1,7,5,1,1,1,0,1,5,1,1,1,1
0,72.8,9187.1,175.3,89.9,12.946,2.8,86.4,0.85,102.4,11.1,164.9,69.1,93,0,0,89.9,54.4,,379.8,100,357.1,19.3,4.4,0,34.6,,114,,,85.1,86.6,72.8,0.056,4.5,4.2,5.1,4.8,2.4,6.2,31.9,530,550,-2,169,1.336,0,-0.72,0,0,0.16,0.32,0.95,68.5,9274,97.7,68528.102,160525,56.9,299,208.7,,74.5,,100,72.4,162.9,,,,,0,1.857,1.863,1.946,2.001,93.5,89.5,100,42.0679217,-84.2371033,44,4.011,-0.044,94.6,1,9668,0,14.04,12.83,12.77,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,7,0,0,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,3,0,1,7,5,1,1,1,0,1,5,1,1,1,1
